Date,Open,High,Low,Close,Volume
2025-05-29 16:35:00,23989.66,23993.66,23972.66,23973.16,667
2025-05-29 16:40:00,23972.66,23991.66,23966.16,23970.66,584
2025-05-29 16:45:00,23971.66,23989.66,23966.66,23977.66,541
2025-05-29 16:50:00,23977.16,24006.66,23959.66,24005.16,420
2025-05-29 16:55:00,24005.66,24014.16,23970.66,23982.66,454
2025-05-29 17:00:00,23981.16,24007.66,23975.66,23985.66,527
2025-05-29 17:05:00,23985.16,23985.16,23931.66,23934.66,649
2025-05-29 17:10:00,23934.66,23962.66,23930.66,23962.16,598
2025-05-29 17:15:00,23962.66,23968.16,23913.66,23920.66,563
2025-05-29 17:20:00,23920.16,23940.16,23912.66,23939.16,571
2025-05-29 17:25:00,23938.66,23970.66,23938.16,23956.66,423
2025-05-29 17:30:00,23957.16,23962.66,23921.66,23924.66,536
2025-05-29 17:35:00,23924.66,23954.16,23922.66,23941.66,466
2025-05-29 17:40:00,23941.66,23943.16,23926.66,23937.66,448
2025-05-29 17:45:00,23936.66,23953.66,23928.66,23940.66,446
2025-05-29 17:50:00,23940.16,23963.16,23930.16,23949.66,399
2025-05-29 17:55:00,23950.16,23972.16,23947.66,23969.16,316
2025-05-29 18:00:00,23970.66,23977.16,23948.66,23963.66,394
2025-05-29 18:05:00,23963.16,23972.66,23956.66,23967.66,401
2025-05-29 18:10:00,23967.66,23981.66,23946.66,23946.66,395
2025-05-29 18:15:00,23946.66,23956.66,23938.16,23939.66,355
2025-05-29 18:20:00,23939.66,23945.66,23935.66,23942.66,333
2025-05-29 18:25:00,23942.16,23972.16,23939.66,23968.16,339
2025-05-29 18:30:00,23967.66,23977.16,23927.16,23936.66,395
2025-05-29 18:35:00,23937.66,23950.66,23930.66,23930.66,450
2025-05-29 18:40:00,23930.66,23940.66,23923.66,23923.66,382
2025-05-29 18:45:00,23924.16,23928.16,23907.16,23914.66,365
2025-05-29 18:50:00,23915.16,23939.16,23914.16,23921.16,350
2025-05-29 18:55:00,23921.16,23925.66,23852.66,23867.16,625
2025-05-29 19:00:00,23867.66,23867.66,23837.66,23857.66,853
2025-05-29 19:05:00,23857.66,23877.16,23856.16,23875.66,613
2025-05-29 19:10:00,23875.66,23895.16,23872.16,23894.16,393
2025-05-29 19:15:00,23894.66,23908.16,23893.16,23905.16,320
2025-05-29 19:20:00,23904.66,23910.66,23897.66,23903.66,359
2025-05-29 19:25:00,23903.16,23919.66,23900.66,23913.66,311
