generation,best_fitness,avg_fitness,best_metrics
1,16.38085933423256,-inf,"{'total_trades': 739, 'winning_trades': 362, 'losing_trades': 377, 'win_rate': 48.9851150202977, 'total_return': np.float64(175.39569643326666), 'avg_win': np.float64(0.8246828014934072), 'avg_loss': np.float64(-0.3266299143430948), 'profit_factor': np.float64(2.4243660903785225), 'max_drawdown': np.float64(21.31769726591843), 'sharpe_ratio': np.float64(217.7526338215139)}"
2,19.265854710217965,-inf,"{'total_trades': 887, 'winning_trades': 402, 'losing_trades': 485, 'win_rate': 45.32130777903044, 'total_return': np.float64(221.97219851653367), 'avg_win': np.float64(0.9319311760170501), 'avg_loss': np.float64(-0.3147714108089083), 'profit_factor': np.float64(2.453990484524688), 'max_drawdown': np.float64(13.0493906937167), 'sharpe_ratio': np.float64(255.7006676530244)}"
3,22.218082002534416,-inf,"{'total_trades': 883, 'winning_trades': 414, 'losing_trades': 469, 'win_rate': 46.88561721404304, 'total_return': np.float64(234.67405530135096), 'avg_win': np.float64(0.8645688708793796), 'avg_loss': np.float64(-0.2628090772765718), 'profit_factor': np.float64(2.9039339326889), 'max_drawdown': np.float64(13.452548305780324), 'sharpe_ratio': np.float64(284.3328611018767)}"
4,23.1526491059814,-inf,"{'total_trades': 911, 'winning_trades': 433, 'losing_trades': 478, 'win_rate': 47.530186608122946, 'total_return': np.float64(240.9547759347813), 'avg_win': np.float64(0.8499723029598956), 'avg_loss': np.float64(-0.26586450051642996), 'profit_factor': np.float64(2.8960391042208973), 'max_drawdown': np.float64(9.951355984137695), 'sharpe_ratio': np.float64(294.15359055898887)}"
5,23.514675548744954,-inf,"{'total_trades': 847, 'winning_trades': 407, 'losing_trades': 440, 'win_rate': 48.05194805194805, 'total_return': np.float64(236.5990538536374), 'avg_win': np.float64(0.849909272462347), 'avg_loss': np.float64(-0.24844095463304058), 'profit_factor': np.float64(3.1643980687035946), 'max_drawdown': np.float64(9.210484741319927), 'sharpe_ratio': np.float64(289.78360233912025)}"
6,23.66438569450366,-137.33445525099762,"{'total_trades': 924, 'winning_trades': 442, 'losing_trades': 482, 'win_rate': 47.83549783549784, 'total_return': np.float64(243.97638010909327), 'avg_win': np.float64(0.8388016419124749), 'avg_loss': np.float64(-0.2630164846809556), 'profit_factor': np.float64(2.9244993829227064), 'max_drawdown': np.float64(11.273733255764483), 'sharpe_ratio': np.float64(301.5237806964879)}"
7,24.431912330280028,-inf,"{'total_trades': 969, 'winning_trades': 459, 'losing_trades': 510, 'win_rate': 47.368421052631575, 'total_return': np.float64(253.92276979149483), 'avg_win': np.float64(0.8401854017587007), 'avg_loss': np.float64(-0.2582790776779388), 'profit_factor': np.float64(2.9277124124073777), 'max_drawdown': np.float64(14.76001810511497), 'sharpe_ratio': np.float64(313.3429536919245)}"
8,25.418083774807464,-275.25685233301454,"{'total_trades': 885, 'winning_trades': 442, 'losing_trades': 443, 'win_rate': 49.94350282485876, 'total_return': np.float64(237.6811941881317), 'avg_win': np.float64(0.7454336321798297), 'avg_loss': np.float64(-0.20722454003465687), 'profit_factor': np.float64(3.589106471782457), 'max_drawdown': np.float64(15.33546932359375), 'sharpe_ratio': np.float64(322.8338037404566)}"
9,28.662997000972826,-277.2557441236341,"{'total_trades': 1016, 'winning_trades': 502, 'losing_trades': 514, 'win_rate': 49.40944881889764, 'total_return': np.float64(273.066545902204), 'avg_win': np.float64(0.7551364544619982), 'avg_loss': np.float64(-0.2062489382056792), 'profit_factor': np.float64(3.5758090006518035), 'max_drawdown': np.float64(13.194497792749305), 'sharpe_ratio': np.float64(369.18326500897024)}"
10,28.662997000972826,-inf,"{'total_trades': 1016, 'winning_trades': 502, 'losing_trades': 514, 'win_rate': 49.40944881889764, 'total_return': np.float64(273.066545902204), 'avg_win': np.float64(0.7551364544619982), 'avg_loss': np.float64(-0.2062489382056792), 'profit_factor': np.float64(3.5758090006518035), 'max_drawdown': np.float64(13.194497792749305), 'sharpe_ratio': np.float64(369.18326500897024)}"
11,28.92758600648176,-inf,"{'total_trades': 1016, 'winning_trades': 500, 'losing_trades': 516, 'win_rate': 49.21259842519685, 'total_return': np.float64(274.63686411423805), 'avg_win': np.float64(0.7543184083157655), 'avg_loss': np.float64(-0.19868670551093925), 'profit_factor': np.float64(3.678800191229763), 'max_drawdown': np.float64(13.816993716322237), 'sharpe_ratio': np.float64(375.5445594462453)}"
12,30.302148646981745,-inf,"{'total_trades': 1059, 'winning_trades': 529, 'losing_trades': 530, 'win_rate': 49.95278564683664, 'total_return': np.float64(285.816408753196), 'avg_win': np.float64(0.7463535732680692), 'avg_loss': np.float64(-0.20566911604832552), 'profit_factor': np.float64(3.622057474121911), 'max_drawdown': np.float64(10.273741665135322), 'sharpe_ratio': np.float64(379.9709419909753)}"
13,30.340240016421863,-inf,"{'total_trades': 1059, 'winning_trades': 529, 'losing_trades': 530, 'win_rate': 49.95278564683664, 'total_return': np.float64(286.1382681811022), 'avg_win': np.float64(0.7469620031884965), 'avg_loss': np.float64(-0.20566911604832552), 'profit_factor': np.float64(3.625010187446661), 'max_drawdown': np.float64(10.273741665135322), 'sharpe_ratio': np.float64(379.93637017615424)}"
14,30.340240016421863,-1418.104916398057,"{'total_trades': 1059, 'winning_trades': 529, 'losing_trades': 530, 'win_rate': 49.95278564683664, 'total_return': np.float64(286.1382681811022), 'avg_win': np.float64(0.7469620031884965), 'avg_loss': np.float64(-0.20566911604832552), 'profit_factor': np.float64(3.625010187446661), 'max_drawdown': np.float64(10.273741665135322), 'sharpe_ratio': np.float64(379.93637017615424)}"
15,30.82567203918111,-31.01078032175981,"{'total_trades': 1067, 'winning_trades': 534, 'losing_trades': 533, 'win_rate': 50.04686035613871, 'total_return': np.float64(290.3910924954299), 'avg_win': np.float64(0.7504498834066119), 'avg_loss': np.float64(-0.20703404360919475), 'profit_factor': np.float64(3.631566305784382), 'max_drawdown': np.float64(8.83525356143938), 'sharpe_ratio': np.float64(382.62183867488943)}"
16,30.82567203918111,-inf,"{'total_trades': 1067, 'winning_trades': 534, 'losing_trades': 533, 'win_rate': 50.04686035613871, 'total_return': np.float64(290.3910924954299), 'avg_win': np.float64(0.7504498834066119), 'avg_loss': np.float64(-0.20703404360919475), 'profit_factor': np.float64(3.631566305784382), 'max_drawdown': np.float64(8.83525356143938), 'sharpe_ratio': np.float64(382.62183867488943)}"
